title,time,artist,album,genre,plays
Before You Let Me Go,3:43,Declan J Donovan,Before You Let Me Go - Single,Singer/Songwriter,38
Human (feat. Tom Walker),3:23,dodie,Human,Pop,38
Flowers,3:11,George Moir,Flowers - Single,Alternative,38
Gravity,5:07,Jamie Woon,Mirrorwriting,Alternative,38
"Know (Be Still) [Live in Anaheim, California]",6:12,Jeremy Riddle,Holy Ground (Live Around the World),Christian,38
Everybody But Me,3:05,Nick Wilson,Love and Heartache - EP,Singer/Songwriter,38
so sly,3:11,Nightly,"night, love you.",Alternative,38
I Wish I Never Met You,2:58,Oh Wonder,No One Else Can Wear Your Crown (Deluxe),Pop,38
Blind,3:50,"Paul Davids, Serge Dusault & Parsa",Blind - Single,Pop,38
Will We Talk?,2:43,Sam Fender,Hypersonic Missiles,Singer/Songwriter,38
Atlas: Mind,4:08,Sleeping At Last,Atlas: Mind - Single,Singer/Songwriter,38
Atlas: Six,4:13,Sleeping At Last,Atlas: Six - Single,Singer/Songwriter,38
Atlas: Two,4:20,Sleeping At Last,Atlas: Two - Single,Singer/Songwriter,38
Heirloom,3:50,Sleeping At Last,Atlas: Year One,Alternative,38
Mr. Know-It-All,3:12,Young the Giant,Home of the Strange,Alternative,38
Can’t Fight This Feeling (feat. London Contemporary Orchestra),3:19,Bastille,Doom Days (This Got Out of Hand Edition),Alternative,37
A Final Word,3:52,Ed Prosek,California - EP,Singer/Songwriter,37
Away With The Wind She Goes,0:52,Jeymes Samuel & The Chamber Orchestra of London,The Harder They Fall (Original Score),Soundtrack,37
Wide Awake,4:32,Josh Record,Pillars (Deluxe Version),Alternative,37
Little Did I Know,3:16,Julia Michaels,Not In Chronological Order,Pop,37
Outta My Head (with John Mayer),2:57,Khalid,Free Spirit,R&B/Soul,37
"Gloria, Continued",3:29,Luca Fogale,Nothing is Lost,Singer/Songwriter,37
You're the One,3:38,Luca Fogale,Nothing is Lost,Singer/Songwriter,37
Fly (Acoustic),3:32,Meadowlark,Postcards,Alternative,37
Light,4:23,Sleeping At Last,Atlas: Year One,Alternative,37
Shine,4:16,Years & Years,Communion (Deluxe),Electronic,37
Old Pine,5:29,Ben Howard,Every Kingdom (Deluxe Edition),Singer/Songwriter,36
Bad Bad Fun,3:28,Cj Pandit,Just Before You Disappear - EP,Indie Pop,36
"Suite for Variety Orchestra, Op. 50b: VII. Waltz No. 2 (Arr. H. Amann for Cello Quartet)",3:53,Die Kolophonistinnen,Heldinnenleben,Classical,36
Time to Sink,3:47,Edwin Raphael,Time to Sink - Single,Pop,36
Mirror Love,4:02,The Family Crest,Prelude to War - EP,Alternative,36
Her Way Home,3:36,George Taylor,Her Way Home - Single,Alternative,36
Weathered,4:33,James Walker,English Bones,Singer/Songwriter,36
Lamplight,3:50,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,36
Soldi,3:15,Mahmood,Gioventù bruciata,Pop,36
Believe,3:41,Mumford & Sons,Wilder Mind (Deluxe),Alternative,36
Pteryla,4:27,Novo Amor & Ed Tullett,Heiress,Alternative,36
Easy (feat. Mark Ronson),3:34,Troye Sivan & Kacey Musgraves,Easy (feat. Mark Ronson) - Single,Pop,36
falling up,3:46,Will Heggadon,falling up (mixtape),Singer/Songwriter,36
Isaac,4:09,Bear's Den,Islands (Deluxe),Alternative Folk,35
Gravity of Love,4:19,The Brilliance,All Is Not Lost,Singer/Songwriter,35
Lost Sparks,3:45,Canyon City,Bluebird,Singer/Songwriter,35
44,4:05,Cj Pandit,+44 - EP,Alternative,35
Still (4AD Session),3:30,Daughter,4AD Session - EP,Alternative,35
Beautiful Faces,3:17,Declan McKenna,Zeros,Alternative,35
Burned Out,3:32,dodie,Human,Pop,35
better off,3:12,Gavin Haley,better off - Single,Pop,35
At the Table,4:49,Josh Garrels,Home,Alternative Folk,35
Naive,3:24,The Kooks,Inside In Inside Out,Alternative,35
Don't You Worry,3:50,Lucy Rose,Like I Used To,Alternative,35
Zero,4:17,Mahmood,Zero - Single,Pop,35
Picture You,4:03,Mumford & Sons,Delta,Alternative,35
Alps,3:14,"Novo Amor, Ed Tullett & Lowswimmer",Alps - Single,Alternative,35
Glorious Day (Live),4:59,Passion & Kristian Stanfill,Worthy Of Your Name (Live),Christian,35
Mr Loverman,3:37,Ricky Montgomery,Montgomery Ricky,Pop,35
"June 30, 2018: Pds 70b (Birth of a Planet)",3:24,Sleeping At Last,"June 30, 2018: Pds 70b (Birth of a Planet) - Single",Instrumental,35
Don't Freak,2:47,The Aces,Don't Freak - Single,Alternative,34
The Love We Stole,3:42,Bear's Den,Islands (Deluxe),Alternative Folk,34
Fix You,4:22,Canyon City,Refuge - EP,Singer/Songwriter,34
God Be,4:23,Chris Renzema,I'll Be the Branches,CCM,34
Amsterdam (4AD Session),4:55,Daughter,4AD Session - EP,Alternative,34
Amsterdam,3:10,Gregory Alan Isakov,Gregory Alan Isakov with the Colorado Symphony,Singer/Songwriter,34
arrow,3:41,half•alive,arrow - Single,Alternative,34
Celebration,4:50,Jamie Woon,Making Time,Alternative,34
blue,3:05,Kamal.,blue - Single,Pop,34
Redemption Song (Arr. Kanneh-Mason),3:54,The Kanneh-Masons,Carnival,Classical,34
Bluffin',3:19,Khalid,Free Spirit,R&B/Soul,34
Alive,2:57,Khalid,Free Spirit,R&B/Soul,34
Honest,3:39,Kodaline,Coming Up for Air (Expanded Edition),Alternative,34
Me and My Friends Are Lonely,3:00,Matt Maeson,Who Killed Matt Maeson - EP,Alternative,34
you should probably just hang up,2:53,Nightly,"night, love you.",Alternative,34
Slip Away,3:41,Oh Wonder,Ultralife,Alternative,34
Sun,4:37,Sleeping At Last,Atlas: Year One,Alternative,34
Pluto,3:47,Sleeping At Last,Atlas: Year One,Alternative,34
"August 21, 2017: Total Solar Eclipse",2:40,Sleeping At Last,"August 21, 2017: Total Solar Eclipse - Single",Alternative,34
Tick Tock,4:14,Tom Misch,Geography,Alternative,34
Blood Orange,3:23,THE WLDLFE,"Repaint My Mind, 2021",Alternative,34
About You,5:26,The 1975,Being Funny In a Foreign Language,Alternative,34
lovely,3:20,Billie Eilish & Khalid,lovely - Single,Pop,33
"Nabucco, Act III: ""Va, pensiero"" (Arr. for Cello and Orchestra by Mathieu Herzog)",3:07,"Camille Thomas, Brussels Philharmonic & Mathieu Herzog",Voice of Hope,Classical,33
Fisherman's Harvest Song (Pt. 2),2:48,Christian Li & Timothy Young,Li Zili: Fisherman's Harvest Song - Single,Classical,33
Run to the Father,5:08,Cody Carnes,Run to the Father - Single,Christian,33
Let It All Out (10:05),3:41,COIN,Dreamland,Pop,33
Nuvole di zanzare,3:02,GAIA,Alma,Pop,33
Away With The Wind She Goes (Part 2),1:14,Jeymes Samuel & The Chamber Orchestra of London,The Harder They Fall (Original Score),Soundtrack,33
Move It to the Side,2:34,John-Robert,"Healthy Baby Boy, Pt. 1 - EP",Singer/Songwriter,33
Flowers In Your Hair,1:51,The Lumineers,The Lumineers (Deluxe Version),Alternative,33
Beloved,4:25,Mumford & Sons,Delta,Alternative,33
Not Like Falling Out of Love,3:48,Nick Wilson,Not Like Falling Out of Love - Single,Singer/Songwriter,33
Twenty Something,4:37,Nightly,Talk You Down - EP,Alternative,33
Colourway,3:48,Novo Amor,Bathing Beach - EP,Alternative,33
Euphor,4:03,"Novo Amor, Ed Tullett & Lowswimmer",Heiress,Alternative,33
Moon,4:01,Sleeping At Last,Atlas: Year One,Alternative,33
CIGARETTES,2:30,Zachary Knowles,CIGARETTES - Single,Pop,33
Plug In…,2:40,Bastille,Give Me The Future,Alternative,32
Fuel on the Fire,3:55,Bear's Den,So that you might hear me,Alternative,32
Drunk Tattoos,3:02,Cj Pandit,Just Before You Disappear - EP,Indie Pop,32
Monster,4:06,dodie,Human,Pop,32
Talking to Myself,3:58,Gallant,Ology,R&B/Soul,32
Budapest,3:21,George Ezra,Wanted On Voyage,Singer/Songwriter,32
Breakaway,4:44,George Ezra,Wanted On Voyage,Singer/Songwriter,32
By My Side,4:20,Great Good Fine Ok,Body Diamond - EP,Alternative,32
Lady Luck,4:08,Jamie Woon,Mirrorwriting,Alternative,32
Trip Fox,3:47,Jeremy Loops,Trading Change (Deluxe Edition),Alternative,32
Il Postino: Theme,3:44,"John Williams, Itzhak Perlman & Pittsburgh Symphony Orchestra",Cinema Serenade,Classical Crossover,32
Mercy,3:40,Lewis Capaldi,Bloom - EP,Alternative,32
Halo,3:19,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,32
Hometown Heroes,3:07,Moon Taxi,Silver Dream,Alternative,32
There Will Be Time,4:28,Mumford & Sons & Baaba Maal,Johannesburg - EP,Alternative,32
Intro III,4:29,NF,Perception,Hip-Hop/Rap,32
Vantablack,4:14,Novo Amor & Ed Tullett,Heiress,Alternative,32
Faux,4:32,Novo Amor & Lowswimmer,Faux - Single,Ambient,32
Son,4:04,Sleeping At Last,Atlas: Life - EP,Singer/Songwriter,32
See Me,3:51,Talos,Far Out Dust,Alternative,32
Galaxy,3:10,Alfie Templeman,Mellow Moon,Pop,31
Turandot: Nessun dorma,4:23,"Andrea Bocelli, Coro de la Comunitat Valenciana, Orquestra de la Comunitat Valenciana & Zubin Mehta",Opera - The Ultimate Collection (Deluxe),Classical,31
Flight,1:44,Autonomy,Higher Ground - EP,Classical Crossover,31
Elysium,3:26,Bear's Den,Islands (Deluxe),Alternative Folk,31
Keep Your Head Up,4:25,Ben Howard,Every Kingdom (Deluxe Video Edition),Singer/Songwriter,31
Colors,4:07,Black Pumas,Black Pumas,R&B/Soul,31
don't miss me,2:04,Claire Rosinkranz,Fresh Beats,Pop,31
Youth (4AD Session),4:13,Daughter,4AD Session - EP,Alternative,31
Take Our Time,3:39,Jack Gray,Nights Like This - EP,Alternative,31
Say You'll Stay,3:31,James Smith,An EP by James Smith,Singer/Songwriter,31
Like I Did,3:37,JC Stewart,Like I Did - Single,Singer/Songwriter,31
Belief,4:21,Josh Record,Pillars (Deluxe Version),Alternative,31
Indecisive,3:57,Newton Faulkner,Studio Zoo (Deluxe),Singer/Songwriter,31
Bigger Than Love,3:40,Oh Wonder,Ultralife,Alternative,31
Overgrown,3:58,Oh Wonder,Ultralife,Alternative,31
Midnight River (feat. 6LACK),3:05,Pink Sweat$,Pink Moon,R&B/Soul,31
No Time To Die (Arr. for Orchestra) [From ''No Time To Die''],4:02,Royal Philharmonic Orchestra,Bond 25,Classical Crossover,31
Bad Habits,2:00,Sally Boy,Bad Habits - Single,Pop,31
The Projectionist,3:57,Sleeping At Last,Atlas: Year One,Alternative,31
Neptune,4:40,Sleeping At Last,Atlas: Year One,Alternative,31
Holy Ghost,4:17,BØRNS,Dopamine,Alternative,30
Sonoma,4:20,Ed Prosek,California - EP,Singer/Songwriter,30
Don't Wake Me,5:31,The Family Crest,Prelude to War - EP,Alternative,30
Paradise,3:42,George Ezra,Staying at Tamara's,Singer/Songwriter,30
Broken Vessels (Amazing Grace),9:29,Hillsong Worship & TAYA,No Other Name (Deluxe Edition),Christian & Gospel,30
My Hands,3:21,Jack Gray,My Hands - Single,Alternative,30
Song of Solomon (feat. Martin Smith) [Live],7:51,Jesus Culture,Live from New York,Christian,30
right back,3:33,joan,hi - EP,Pop,30
Can't Sleep,3:21,Kathleen,Kathleen II - EP,Alternative,30
Wherever You Are,3:05,Kodaline,One Day At A Time (Deluxe Edition),Pop,30
Easy Love,3:44,Lauv,I met you when I was 18. (the playlist),Pop,30
Meant For Me,3:10,Lewis Watson,Meant For Me - Single,Pop,30
Stay,4:15,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,30
Dorado,2:58,"Mahmood, Sfera Ebbasta & Feid",Ghettolimpo,Pop,30
Sweater Weather,4:00,The Neighbourhood,I Love You.,Alternative,30
Cross My Mind,2:50,Olivia Dean,Growth - EP,Pop,30
Living Hope (House Sessions),5:22,Phil Wickham,Living Hope (Deluxe),Christian Pop,30
Ace In the Hole,3:46,Saint Motel,My Type - EP,Alternative,30
"A New Division Upon the Ground Bass of ""John Come and Kiss Me""",4:52,Théotime Langlois de Swarte & Thomas Dunford,The Mad Lover,Classical,30
I Bite,5:03,Young the Giant,American Bollywood,Alternative,30
Of the Night,3:34,Bastille,Of the Night - Single,Alternative,29
Think Of England,4:00,Bear's Den,Islands (Deluxe),Alternative Folk,29
Napoleon,5:26,Bear's Den,Red Earth & Pouring Rain,Alternative,29
God Is Love,4:40,Chris Renzema,Let the Ground Rest,CCM,29
Better,2:57,Chris Renzema,Let the Ground Rest,CCM,29
Strength and Beauty,5:59,Citizens,Strength and Beauty - Single,Christian,29
Hallelujah Here Below (feat. Steffany Gretzinger),5:47,Elevation Worship,Paradoxology,Christian,29
Weight in Gold,3:24,Gallant,Ology,R&B/Soul,29
don't say you love me,2:45,joan,bye - EP,Pop,29
Sael,3:15,Jordan Critz,Sael - Single,New Age,29
Autopilot,4:19,Kodaline,Coming Up for Air (Expanded Edition),Alternative,29
give me life,3:01,Lewis Watson,midnight,Singer/Songwriter,29
Ruin My Make Up,2:50,Lola Young,Ruin My Make Up - Single,R&B/Soul,29
Plastic Hearts,2:57,Newton Faulkner,Studio Zoo (Deluxe),Singer/Songwriter,29
Holland,2:40,Novo Amor,"Woodgate, NY - EP",Alternative,29
Ontario,3:13,Novo Amor & Ed Tullett,Heiress,Alternative,29
Anatome,5:19,"Novo Amor, Ed Tullett & Lowswimmer",Heiress,Alternative,29
365,3:52,Oh Wonder,22 Make,Pop,29
Apologize,3:28,OneRepublic,Dreaming Out Loud,Rock,29
"Swan Lake, Op. 20, Act I: No. 10. Scene. Moderato",2:56,Philharmonia Orchestra & Santtu-Matias Rouvali,Tchaikovsky: Swan Lake,Classical,29
Forever Isn't Long Enough,3:24,Alfie Templeman,Forever Isn't Long Enough - Single,Pop,28
5AM,4:18,Amber Run,5AM (Expanded Edition),Alternative,28
Sail,4:19,AWOLNATION,Megalithic Symphony (10th Anniversary Deluxe Edition),Alternative,28
Distorted Light Beam,2:57,Bastille,Distorted Light Beam - Single,Alternative,28
Brother Tongue,4:34,Ben Abraham,Friendly Fire,Alternative,28
Wish List,3:33,Canyon City,Circling the Sun - EP,Singer/Songwriter,28
Reckless Love,5:33,Cory Asbury,Reckless Love,Christian,28
Tomorrow (4AD Session),4:57,Daughter,4AD Session - EP,Alternative,28
If I'm Being Honest,4:39,dodie,Human,Pop,28
Hold On Tight,4:04,Ed Prosek,The Riverbed - EP,Singer/Songwriter,28
A Man Without Love,3:18,Engelbert Humperdinck,Engelbert Humperdinck - The Greatest Hits And More,Pop,28
Guiding Light (Radio Edit),5:50,Foy Vance,Feel for Me - EP,Singer/Songwriter,28
If You Ever Forget That You Love Me,3:23,Isak Danielson,Tomorrow Never Came,Vocal,28
We Don't Eat,4:54,James Vincent McMorrow,Early in the Morning,Alternative,28
Unclear,4:26,Kodaline,Coming Up for Air (Expanded Edition),Alternative,28
Into the Wild,3:47,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,28
I Had To Let Go,3:53,MarthaGunn,Something Good Will Happen,Alternative,28
Guiding Light,3:38,Mumford & Sons,Delta,Alternative,28
Woman,4:35,Mumford & Sons,Delta,Alternative,28
Snake Eyes,4:09,Mumford & Sons,Wilder Mind (Deluxe),Alternative,28
Ngamila,3:37,"Mumford & Sons, Baaba Maal & The Very Best",Johannesburg - EP,Alternative,28
Fairytail,2:51,Phoria,Fairytail - Single,New Age,28
Get Used to It,3:55,Ricky Montgomery,Montgomery Ricky,Pop,28
"July 27, 2018: Total Lunar Eclipse",1:43,Sleeping At Last,"July 27, 2018: Total Lunar Eclipse - Single",Instrumental,28
God Complex,3:30,The True Blue,If That's How You Feel,Pop,28
Hot Soup,3:07,88rising & Simu Liu,Shang-Chi and The Legend of The Ten Rings: The Album,Soundtrack,28
West Coast,2:48,Alt Bloom,Astronaut Complex - EP,Alternative,27
Ocean,3:48,Andreas Moe,Before the Rumble Comes,Adult Alternative,27
Dreaming of You,4:52,By The Coast,Twist of Fate,Singer/Songwriter,27
Streetcar,4:07,Daniel Caesar,Pilgrim's Paradise - EP,R&B/Soul,27
La sera dei miracoli (feat. Alessandra Amoroso),5:35,Fiorella Mannoia,A te (Special Edition),Pop,27
"Gabriel's Oboe (From ""The Mission"")",3:36,"HAUSER, Czech Studio Orchestra & Robert Ziegler",HAUSER Plays Morricone,Classical Crossover,27
Weathered,4:35,Jack Garratt,Phase (Deluxe),Alternative,27
Winter Comes,2:02,Josh Record,Pillars (Deluxe Version),Alternative,27
Outgrow,3:52,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,27
Bones,3:46,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,27
Wona,4:00,"Mumford & Sons, Baaba Maal, The Very Best & Beatenberg",Johannesburg - EP,Alternative,27
Built For This,2:36,Nick Wilson,Love and Heartache - EP,Singer/Songwriter,27
Hallucinate,3:27,Oliver Riot,Hallucinate - EP,Folk,27
Squares,3:50,Raleigh Ritchie,Andy,Alternative,27
Odyssey,4:46,Talos,Odyssey - Single,Alternative,27
Somebody Else,5:48,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",Alternative,27
Standing In Miracles (Live),4:12,Bethel Music & Emmy Rose,Homecoming (Live),Christian,26
Love Is Back,4:16,Celeste,Not Your Muse (Deluxe),Pop,26
Secret For the Mad,3:17,dodie,You - EP,Singer/Songwriter,26
Petit Papillon,3:24,Eurielle,Goodbye Butterfly,New Age,26
All the Feels,3:03,Fly By Midnight,Rerunning,Pop,26
Adagio for Strings,7:55,"HAUSER, London Symphony Orchestra & Robert Ziegler",Classic,Classical,26
Intermezzo (Cavalleria Rusticana),3:26,"HAUSER, London Symphony Orchestra & Robert Ziegler",Violoncelle Apaisant (Musique Classique),Classical,26
District Line,3:29,James Smith,District Line EP,Pop,26
Eastern Sea,4:49,Jordan Critz,Eastern Sea - Single,New Age,26
Paradise,2:54,Khalid,Free Spirit,R&B/Soul,26
Hundred,4:37,Khalid,Free Spirit,R&B/Soul,26
All I Want,5:06,Kodaline,In a Perfect World,Alternative,26
slumber (feat. lucy rose),5:06,Lewis Watson,midnight,Singer/Songwriter,26
What About Today?,4:57,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,26
Calling,3:59,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,26
Don't Let Me Be Misunderstood,2:46,Nina Simone,Don't Let Me Be Misunderstood,Jazz,26
Happy,2:54,Oh Wonder,No One Else Can Wear Your Crown (Deluxe),Pop,26
Lifetimes,3:52,Oh Wonder,Ultralife,Alternative,26
High On Humans,3:11,Oh Wonder,Ultralife,Alternative,26
Breathe,3:10,Seafret,Tell Me It's Real (Expanded Edition),Alternative,26
East,4:39,Sleeping At Last,Atlas: Year One,Alternative,26
"September 15, 2017: Cassini - The Grand Finale",3:35,Sleeping At Last,"September 15, 2017: Cassini - The Grand Finale - Single",Singer/Songwriter,26
We're Going Home,3:28,Vance Joy,Nation of Two,Alternative,26
Take My Breath,3:40,The Weeknd,Take My Breath - Single,R&B/Soul,26
These Waters,4:08,Ben Howard,Every Kingdom (Deluxe Video Edition),Singer/Songwriter,25
Closer to the Sun,3:43,Betcha,Feels Like We’ve Been Here Before,Alternative,25
Gratitude,5:38,Brandon Lake,House Of Miracles,Christian,25
Come Holy Spirit,7:21,Bright City,Hello Maker,Christian,25
"1, 2, Free",3:19,Cj Pandit,"1, 2, Free - Single",Alternative,25
Backyard Boy,2:09,Claire Rosinkranz,BeVerly Hills BoYfRiEnd - EP,Pop,25
Instrumental,0:50,dodie,You - EP,Singer/Songwriter,25
The A Team,4:18,Ed Sheeran,+ (Deluxe Version),Pop,25
There Is A King (Live),5:01,Elevation Worship,Graves into Gardens (Deluxe) [Live],Christian,25
Lacrimosa,2:53,"HAUSER, London Symphony Orchestra & Robert Ziegler",Violoncelle Apaisant (Musique Classique),Classical,25
Rain on Me,3:26,James Deacon,Renegade - EP,Alternative,25
Forgiven,3:21,Jamie Woon,Making Time,Alternative,25
want u back,3:05,joan,cloudy - EP,Alternative,25
Eastern Sea,4:49,Jordan Critz,Eastern Sea (Piano Sonata) - Single,New Age,25
Stones Around the Sun,3:44,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,25
Oceansize,3:43,Oh Wonder,Oceansize - Single,Pop,25
Oceans,3:36,Seafret,Oceans - EP,Alternative,25
Overture II,1:26,Sleeping At Last,Atlas: Life - EP,Singer/Songwriter,25
Touch,4:15,Sleeping At Last,Atlas: Senses - EP,Singer/Songwriter,25
Guardian Angel,2:53,Young the Giant,American Bollywood,Alternative,25
Mulholland II,4:22,AVAWAVES,Mulholland II - Single,Classical Crossover,24
Fossils,3:58,Bear's Den,So that you might hear me,Alternative,24
I Hear a Symphony,3:05,Cody Fry,Flying,Singer/Songwriter,24
You,2:51,dodie,You - EP,Singer/Songwriter,24
Echo (feat. Tauren Wells),3:57,Elevation Worship,Hallelujah Here Below,Christian,24
Bruttissima bellissima (You're My Everything),4:32,Fred Bongusto,Collection: Fred Bongusto,Pop,24
Nocturne (Arr. for Cello and Orchestra),7:08,"HAUSER, London Symphony Orchestra & Robert Ziegler",Classic,Classical Crossover,24
Nocturne in C Sharp,4:33,"HAUSER, London Symphony Orchestra & Robert Ziegler",Classical at Home,Classical,24
River Flows in You,3:01,"HAUSER, London Symphony Orchestra & Robert Ziegler",River Flows in You - Single,Classical,24
Falling,4:00,Jack Garratt,Phase (Deluxe),Alternative,24
Skinny Blues,3:10,Jeremy Loops,Trading Change (Deluxe Edition),Alternative,24
A Welcoming,4:10,Jordan Critz,A Welcoming - Single,New Age,24
Hold On,2:47,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,24
7 Years,3:57,Lukas Graham,Lukas Graham,Pop,24
Used to Me,3:00,Luke Chiang,Used to Me - Single,Pop,24
October Skies,3:44,Mumford & Sons,Delta,Alternative,24
Wild Heart,5:05,Mumford & Sons,Delta,Alternative,24
Si Tu Veux,4:46,"Mumford & Sons, Baaba Maal & The Very Best",Johannesburg - EP,Alternative,24
Fool You’ve Landed,3:41,"Mumford & Sons, The Very Best & Beatenberg",Johannesburg - EP,Alternative,24
Terraform,4:12,"Novo Amor, Ed Tullett & Lowswimmer",Heiress,Alternative,24
Nervous,3:13,Oliver Riot,Nervous - Single,Pop,24
Wonder,4:12,Parisian,Lion and the Beggar - EP,Pop,24
Life,4:29,Sleeping At Last,Atlas: Life - EP,Singer/Songwriter,24
Daughter,4:04,Sleeping At Last,Atlas: Life - EP,Singer/Songwriter,24
West,3:47,Sleeping At Last,Atlas: Year One,Alternative,24
Atlantic,6:35,Sleeping At Last,Atlas: Year One,Alternative,24
Broken,3:13,Alfie Templeman,Mellow Moon,Pop,23
Little Ghost,4:27,Amber Run,5AM (Expanded Edition),Alternative,23
Silently Screaming,3:42,Bad Suns,Apocalypse Whenever (Deluxe Edition),Alternative,23
Raise a Hallelujah (Live),7:51,"Bethel Music, Jonathan David Helser & Melissa Helser",Victory (Live),Christian,23
Bluebird,4:15,Canyon City,Bluebird,Singer/Songwriter,23
Cloud 9,2:49,Duane Rivers,Wise Man Fools Heart - EP,Singer/Songwriter,23
2step,2:34,Ed Sheeran,=,Pop,23
Song To the Siren,4:10,Eurielle,Goodbye Butterfly,New Age,23
Angry Hill,4:11,George Ezra,Did You Hear the Rain? - EP,Singer/Songwriter,23
Did You Hear the Rain?,4:21,George Ezra,Wanted On Voyage,Singer/Songwriter,23
Rachmaninov 2nd Piano Concerto,4:48,"HAUSER, London Symphony Orchestra & Robert Ziegler",Classic,Classical,23
Swan Lake,2:52,"HAUSER, London Symphony Orchestra & Robert Ziegler",Swan Lake - Single,Classical,23
Concerto for Clarinet,3:22,"HAUSER, London Symphony Orchestra & Robert Ziegler",Violoncelle Apaisant (Musique Classique),Classical,23
Radioactive,3:07,Imagine Dragons,Night Visions,Pop,23
Fishbowl,3:10,Jessarae,Fishbowl - Single,Pop,23
lose,2:56,Kamal.,war outside,Pop,23
The One,3:53,Kodaline,Coming Up for Air (Expanded Edition),Alternative,23
(midnight),6:32,Lewis Watson,midnight,Singer/Songwriter,23
Baci Dalla Tunisia,4:01,Mahmood,Ghettolimpo,Pop,23
42,4:01,Mumford & Sons,Delta,Alternative,23
I Miss the Days,4:29,NF,The Search,Hip-Hop/Rap,23
Hopin',5:37,"Paul Davids, Serge Dusault & Parsa",Hopin' - Single,Alternative,23
Pacific,2:57,Sleeping At Last,Atlas: Year One,Alternative,23
Indian,3:56,Sleeping At Last,Atlas: Year One,Alternative,23
Arctic,4:52,Sleeping At Last,Atlas: Year One,Alternative,23
To Each His Own,3:10,Talos,Far Out Dust,Alternative,23
Nemo Egg (Main Title),1:16,Thomas Newman,Finding Nemo (Music From the Motion Picture),Soundtrack,23
Little Bit of Love,3:46,Tom Grennan,Evering Road (Deluxe),Alternative,23
Hidden (Live) [feat. Will Reagan],6:34,United Pursuit,Simple Gospel (Live),Christian,23
Sway,2:50,Alt Bloom,Astronaut Complex - EP,Pop,22
The Wolves,5:09,Ben Howard,Every Kingdom (Deluxe Edition),Singer/Songwriter,22
Bella Ciao (Arr. Gonet),2:38,"Camille Berthollet, Julie Berthollet, Ernst Van Tiel & Orchestre national d'Île de France",Series,Classical Crossover,22
Kamikaze,2:59,Chaz Cardigan,Holograma,Alternative,22
Start a Riot,2:51,DUCKWRTH & Shaboozey,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Soundtrack,22
Elena,4:52,Ed Prosek,California - EP,Singer/Songwriter,22
Wisdom,3:39,Ed Prosek,Wisdom - Single,Singer/Songwriter,22
Mend A Heart,4:21,Jack Garratt,"Love, Death & Dancing",Alternative,22
Higher Love,3:36,James Vincent McMorrow,Early in the Morning,Alternative,22
Ocean Wild,4:28,Jordan Critz,Ocean Wild - Single,Electronic,22
Leviathan,2:30,Josh Garrels,Home,Alternative Folk,22
All I Feel Is Rain (feat. JID),3:25,Khalid,Scenic Drive (The Tape),R&B/Soul,22
In The End,3:30,Kodaline,One Day At A Time (Deluxe Edition),Pop,22
Red Face,3:33,Lucy Rose,Like I Used To,Alternative,22
dependent,2:50,Mae Muller,"no one else, not even you",Pop,22
Freehand,3:09,Novo Amor & Ed Tullett,Heiress,Alternative,22
"O Come, All You Unfaithful",3:52,Sovereign Grace Music,Heaven Has Come,Christmas: Religious,22
The Flood,3:25,Talos,Far Out Dust,Alternative,22
Fun,3:27,Troye Sivan,Trxye - EP,Pop,22
Dayglow,2:58,Vistas,What Were You Hoping to Find?,Indie Rock,22
See Through,3:01,The Band CAMINO,tryhard,Alternative,21
Half Light,3:06,BANNERS,Starlight In The Room - EP,Alternative,21
Take Courage (Live),6:19,Bethel Music & Kristene DiMarco,Starlight (Live),Christian,21
Cars at Night,3:58,By The Coast,You,Singer/Songwriter,21
Real Life,2:57,Claire Rosinkranz,Real Life - Single,Pop,21
Bloodstream,5:09,Ed Sheeran & Rudimental,Bloodstream - Single,Pop,21
It Is So,5:50,Elevation Worship,At Midnight - EP,Christian,21
Who Is Like You?,4:19,Emu Music,Creation Awaits,Christian,21
Battle Cry,4:40,The Family Crest,Prelude to War - EP,Alternative,21
The More I Seek You,5:10,Gateway Worship,The More I Seek You,Christian,21
Summerland,3:50,half•alive,Summerland - Single,Alternative,21
Circles,3:46,Jack Garratt,"Love, Death & Dancing",Alternative,21
Home,3:32,Jake Isaac,Where We Belong - EP,Singer/Songwriter,21
Lament,3:37,Jamie Woon,Making Time,Alternative,21
At Home,3:47,Jon Bryant,Cult Classic,Alternative,21
It Could Be Better,4:27,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,21
Little Darling,3:56,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,21
Ghettolimpo,3:55,Mahmood,Ghettolimpo,Pop,21
